# Each line contains the id, the nearest lower-left corner of the block (x, y, z),
# and the length (x), width (y), height(z) of the block. (The block may be rotated),
# i.e. totaly 7 numbers in a line.
93 0 0 0 6.85463 3.76587 2.8131
47 0 0 2.8131 6.21809 6.99204 4.34186
76 0 0 7.15496 2.56202 8.57867 2.20356
33 0 0 9.35852 6.3791 7.45881 3.91352
15 0 0 13.272 5.87829 2.18159 1.50302
4 0 0 14.7751 2.35207 7.18788 1.05125
88 0 0 15.8263 6.35796 7.14294 5.39668
3 0 0 21.223 5.71189 7.67965 2.84801
55 0 0 24.071 7.06753 8.15998 1.52401
64 0 0 25.595 2.18427 7.91432 1.96736
94 0 0 27.5624 7.15884 5.43167 1.62505
24 0 0 29.1874 3.00943 8.4987 2.30535
9 0 0 31.4928 5.08822 8.62623 1.15925
79 0 0 32.652 8.9536 7.05329 3.11022
73 0 0 35.7622 8.62047 8.82912 2.56141
44 0 0 38.3236 4.04363 8.96089 1.92453
95 0 0 40.2482 7.95994 8.59403 7.26779
17 0 0 47.516 8.13272 9.37336 3.18645
39 0 0 50.7024 4.8098 9.64264 1.24328
68 0 0 51.9457 2.69638 7.41851 2.56388
56 0 0 54.5096 2.35041 4.04069 1.57924
81 0 0 56.0888 7.83571 8.8588 1.39798
92 0 0 57.4868 7.46811 8.77095 5.1709
26 0 0 62.6577 9.40017 7.95551 4.27377
65 0 0 66.9315 6.0743 8.03489 1.61663
57 0 0 68.5481 8.34245 7.38255 5.41238
46 0 0 73.9605 5.28288 4.83314 3.51667
90 0 0 77.4771 7.37711 6.72221 4.61855
14 0 0 82.0957 6.40817 5.46857 1.45177
10 0 0 83.5475 8.7818 7.08715 6.46251
99 0 0 90.01 5.86914 9.61514 2.9436
36 0 0 92.9536 2.42501 2.70916 2.41388
96 0 0 95.3675 7.79813 9.84487 1.33505
28 0 0 96.7025 3.15753 2.8852 2.18754
8 0 0 98.89 7.21959 8.53801 1.75618
59 0 0 100.646 2.02571 7.58293 1.39105
34 0 0 102.037 7.68445 9.54934 5.92295
50 0 0 107.96 4.51225 8.24788 2.70196
84 0 0 110.662 3.61857 7.85917 1.10895
16 0 0 111.771 3.01557 6.02319 1.76132
38 0 0 113.532 6.54383 8.35808 4.54248
83 0 0 118.075 4.04215 6.29776 1.30421
22 0 0 119.379 8.03442 7.59198 6.81778
21 0 0 126.197 2.79182 5.99 1.65797
82 0 0 127.855 5.21303 3.45158 2.68373
80 0 0 130.539 7.11166 8.93498 1.62567
19 0 0 132.164 9.44053 7.07843 4.10188
69 0 0 136.266 5.00144 3.08743 1.64636
42 0 0 137.913 6.65516 7.03548 5.89734
67 0 0 143.81 7.72774 5.18133 2.06591
62 0 0 145.876 3.9011 2.45179 1.79258
75 0 0 147.668 1.54378 5.55002 1.42138
41 0 0 149.09 3.5429 7.61109 2.11709
48 0 0 151.207 2.69994 9.76058 2.34833
29 0 0 153.555 8.26597 6.10015 2.32574
74 0 0 155.881 9.47573 9.80475 9.57642
45 0 0 165.457 6.84748 3.41926 2.09166
7 0 0 167.549 9.16706 3.10953 1.17088
70 0 0 168.72 2.88169 4.28632 2.67208
66 0 0 171.392 6.65354 9.38529 2.14064
63 0 0 173.533 8.71523 5.79554 1.74731
85 0 0 175.28 4.16235 7.3349 1.53033
20 0 0 176.81 8.22233 9.56439 5.70467
27 0 0 182.515 7.53289 9.97108 3.64712
77 0 0 186.162 6.74335 7.96396 3.26948
54 0 0 189.431 9.43236 9.19909 1.22005
87 0 0 190.652 8.83571 9.70498 4.08849
97 0 0 194.74 3.93335 9.89048 1.04003
43 0 0 195.78 4.49429 8.01102 2.27644
6 0 0 198.057 8.61204 1.83399 1.1449
60 0 0 199.201 9.28488 9.79426 5.53796
98 0 0 204.739 8.72619 9.29132 5.43671
1 0 0 210.176 8.71301 5.63107 4.06011
91 0 0 214.236 6.31209 5.01653 4.55792
2 0 0 218.794 6.28287 4.9121 1.63252
89 0 0 220.427 7.5069 6.09654 1.32382
18 0 0 221.75 5.35231 8.54042 3.94263
23 0 0 225.693 3.09052 4.02466 2.55766
0 0 0 228.251 8.46092 8.98587 6.30326
25 0 0 234.554 6.77392 4.37698 3.51245
5 0 0 238.066 6.71302 9.47011 1.2583
37 0 0 239.325 2.38496 5.35629 1.82519
40 0 0 241.15 7.78044 8.84467 2.56902
12 0 0 243.719 6.43268 7.37645 1.82778
53 0 0 245.547 9.29552 7.92265 6.38873
35 0 0 251.935 8.04803 8.4354 4.45837
11 0 0 256.394 7.76767 5.80016 2.09358
71 0 0 258.487 7.21003 9.92383 3.0536
52 0 0 261.541 2.89444 3.0253 2.2845
86 0 0 263.826 3.09236 2.88492 2.74102
32 0 0 266.567 3.35444 9.42439 2.35585
13 0 0 268.922 8.28069 5.73988 5.0561
72 0 5.73988 268.922 7.37733 3.82493 3.84618
78 0 3.0253 261.541 8.30723 5.6917 4.96586
30 0 5.63107 210.176 9.20203 3.97064 9.54807
31 0 4.28632 165.457 8.76642 5.53807 5.76246
61 8.04803 0 251.935 1.16729 8.04214 8.76728
51 3.5429 0 147.668 5.85897 9.4824 5.62934
58 6.3791 0 2.8131 1.63047 9.08249 9.69077
49 6.3791 0 12.5039 2.94322 7.89215 9.40321
